"Author, year",Treatment duration (weeks),Primary indication for GLP-1RAs,Intervention,No. of patients,Age (years),Men (%),DM (%),Baseline BMI (kg/m2),Baseline Weight,Baseline lean mass
,,,,,,,,,(kg),(kg)
"Astrup A, 2012 [40]",20,Obesity,Liraglutide 1.2 mg qd sc,95,47.2 (9.7),23,6,34.8 (2.6),96.2 (13.5),55 (8.9)
,,,Liraglutide 1.8 mg qd sc,90,45.5 (10.9),24,2,35 (2.6),98 (12.5),51.7 (11.3)
,,,Liraglutide 2.4 mg qd sc,93,45.0 (11.1),24,1,35 (2.8),98.4 (13),50.6 (11.9)
,,,Liraglutide 3.0 mg qd sc,93,45.9 (10.7),25,4,34.8 (2.8),97.6 (13.7),53.1 (10.3)
,,,Placebo,98,45.9 (10.3),25,4,34.9 (2.8),97.3 (12.3),51 (11)
"Gibbons C, 2021 [29]",12,T2D,Oral Semaglutide 14 mg po,15,58.2 (13.3),86.7,100,30.8 (4),93.9 (27),NR
,,,Placebo,,,,,,,
"Harder H, 2004 [42]",8,T2D,Liraglutide 0.6 mg qd sc,21,59.9 (11),52.4,100,36.8 (4.6),106.9 (2.9),59.6 (2.5)b
,,,Placebo,12,60.1 (6.7),8.3,100,36.1 (3.4),98 (3.8),49.7 (1.9)b
"Ghanim H, 2020 [39]",26,T1D,Liraglutide 1.8 mg qd sc,37,47 (2),47,100,33.3 (1.2),94.2 (3.1),52 (2.1)b
,,,Placebo,27,45 (3),41,100,29.5 (1.3),83.3 (3.4),50.1 (2.2)b
"Neeland IJ, 2017 [36]",49,Overweight/obesity,Liraglutide 3.0 mg qd sc,73,49.6 (9.8),8,0,37.2 (6),101 (17.9),NR
,,,Placebo,55,50.9 (8.8),7,0,38.1 (6.1),102.3 (17.9),NR
"Ishøy PL, 2017 [34]",13,Obesity,Exenatide 2.0 mg qw sc,20,37.4 (10.7),55,0,39.5 (3.5),118.3 (16),59.9 (11.7)
,,,Placebo,20,34.4 (10.6),45,0,38.6 (6.3),111.7 (18),57.4 (7.5)
"Dubé MC, 2018 [23]",24,T1D,Liraglutide 1.8 mg qd sc,15,35.8 (1.7),–,100,30.5 (0.9),89 (3.8),58.9 (3.4)b
,,,Placebo,,,,,,,
"Mensberg P, 2017 [38]",16,T2D,Liraglutide 0.6 mg qd sc,17,56.4 (9),76,100,32.5 (3.7),101.0 (14.5),63.3 (12.2)
,,,Placebo,16,55.6 (12),62,100,32.4 (5.2),96.8 (17.4),58 (12)
"Silver HJ, 2023 [26]",14,Obesity/prediabetes,Liraglutide 1.8 mg qd sc,44,50.3 (10.8),32,0,38.6 (6.1),108.5 (21.6),53.6 (9.3)
,,,Sitagliptin po,22,,,0,39.6 (5.7),112.1 (23.4),57.5 (13.9)
,,,Calorie restriction,22,,,0,38.4 (5.7),109.9 (16.9),56 (9.7)
"van Eyk HJ, 2020 [37]",26,T2D,Liraglutide 1.8 mg qd sc,22,55 (11),36,100,30.4 (3.8),81.9 (11),62.2 (9.4)
,,,Placebo,25,55 (9),44,100,28.6 (4),77.8 (12.4),60 (12.1)
"Feng WH, 2019 [9]",24,T2D,Liraglutide 1.8 mg qd sc,29,46.8 (1.8),72.4,100,28.1 (0.6),81.1 (2.3),52 (8.7)b
,,,Metformin 1 g bid po,29,46.3 (2.3),65.5,100,26.8 (0.7),74.8 (2.5),47.6 (9.6)b
,,,Gliclazide 120 mg qd po,27,48.2 (2.5),70.4,100,27.5 (0.5),78.13 (2.4),50.3 (9.4)b
"Yin TT, 2018 [35]",16,Overweight/obesity and T2D,Exenatide 10 ?g bid sc,19,47.6 (2.5),63,100,28.1 (0.5),80.8 (2.4),52 (2.1)b
,,,Insulin glargine,18,48.3 (2.3),67,100,27.0 (0.6),75.1 (1.8),48.4 (1.3)b
"Heise T, 2023 [32]",28,T2D,Semaglutide 1 mg qw sc,44,63.7 (5.9),77.3,100,30.8 (3.8),92.7 (14),56.3 (10.3)
,,,Tirzepatide 15 mg qw sc,45,61.1 (7.1),68.9,100,31.3 (5),94.2 (14),57.7 (9.3)
,,,Placebo,28,60.4 (7.6),75,100,32.2 (4),98.7 (14.6),59.1 (10.3)
"Jendle J, 2009 [5]",26 (LEAD-2),T2D,Liraglutide 0.6 mg qd sc,27,58 (10),77,100,NR,93 (12),NR
,,,Liraglutide 1.2 mg qd sc,31,59 (8),55,100,NR,86 (15),NR
,,,Liraglutide 1.8 mg qd sc,37,58 (9),51,100,NR,91 (15),NR
,,,Glimepiride 4 mg qd po,37,56 (9),70,100,NR,97 (12),NR
,,,Placebo,20,56 (10),75,100,NR,94 (16),NR
,52 (LEAD-3),T2D,Liraglutide 1.2 mg qd,23,55 (11),52,100,NR,94 (15),NR
,,,Liraglutide 1.8 mg qd,20,54 (9),50,100,NR,94 (14),NR
,,,Glimepiride 8 mg qd,18,54 (13),33,100,NR,88 (14),NR
"Kadouh H, 2020 [24]",16,Obesity,Liraglutide 3.0 mg qd sc,19,42 (32–51)a,5,NR,37.2 (33.6–41)a,NR,48.9 (44.1–53.8)a
,,,Placebo,21,37 (26–51)a,14,NR,34.6 (33.4–38.9)a,NR,48.4 (45.7–52.1)a
"Lundgren JR, 2021 [25]",48,Obesity,Liraglutide 3.0 mg qd sc,49,44 (12),36,0,32.6 (2.9),96.7 (12.5),60.4 (11.6)
,,,Placebo,49,,,,,,
"Grannell A, 2021 [27]",16,Obesity,Liraglutide 3.0 qw sc,59,53.7 (9.2),51,NR,43 (6.2),123.2 (23.3),64 (12)
,,,Standard care,19,56.7 (12.7),53,NR,43 (5.7),119.5 (24.1),65.1 (17.2)
"Blundell J, 2017 [28]",12,Obesity,Semaglutide 1.0 mg qw sc,28,42,66,0,33.8,101.3,NR
,,,Placebo,,,,,,,
"McCrimmon RJ, 2020 [31]",52,T2D,Semaglutide 1.0 qw weekly sc,88,57.8 (9.9),NR,100,32.6 (6.4),89 (18.2),51.3 (10.1)
,,,Canagliflozin 300 mg qd po,90,58.6 (10.1),NR,100,32.3 (5.5),87.6 (18.2),51.3 (10.7)
"Wilding JPH, 2021 [30]",68,Overweight/obesity,Semaglutide 2.4 mg qw sc,95,NR,NR,NR,NR,NR,NR
,,,Placebo,45,NR,NR,NR,NR,NR,NR
"Bunck MC, 2010 [33]",48,T2D,Exenatide 20 ?g bid sc,29,58.4 (1.4)b,64,100,30.9 (0.7)b,90.3 (2.4)b,57.8 (2.1)b
,,,Insulin glargine,28,58.3 (1.3)b,67,100,30.1 (0.6)b,94.1 (2.5)b,60.1 (1.7)b
"Jastreboff AM, 2022 [41]",72,Obesity,"Tirzepatide 5, 10 or 15 mg qw sc",255,NR,NR,NR,NR,NR,NR
,,,Placebo,,,,,,,
